experiment,r_max,initial_points,tolerance,omega,adm_mass,noether_charge,r99,r999,max_ode_residual,tail_residual
outer_domain,40.0,800,1e-07,0.8518974022850148,1.1712711677405758,1.2129661608480025,11.16745705170117,13.877686306451313,1.3093483159865027e-05,7.830405924295374e-23
outer_domain,60.0,800,1e-07,0.8518974022399302,1.1712711676460013,1.2129665994285532,11.16752145123656,13.877652361301756,1.3800676365915976e-05,9.402717385681394e-27
outer_domain,80.0,800,1e-07,0.8518974022195646,1.1712711676074816,1.2129669175183162,11.1673344159374,13.878365445654815,1.4310187398197671e-05,3.074337853390254e-29
outer_domain,100.0,800,1e-07,0.851897401879178,1.1712711685971613,1.2129671696686037,11.167458329160073,13.877714698928457,1.4710761685965412e-05,3.353373049340313e-24
mesh_seed,80.0,400,1e-07,0.8518973958879926,1.1712711717781208,1.2129669194124773,11.16733456791324,13.878367188434867,1.4311770732966522e-05,2.441460546409413e-31
mesh_seed,80.0,600,1e-07,0.8518974007706172,1.1712711703637138,1.212966918383164,11.167334235718707,13.878367571767225,1.4309739571144453e-05,4.756091977184393e-33
mesh_seed,80.0,800,1e-07,0.8518974022195646,1.1712711676074816,1.2129669175183162,11.1673344159374,13.878365445654815,1.4310187398197671e-05,3.074337853390254e-29
mesh_seed,80.0,1200,1e-07,0.8518974029355609,1.171271166258458,1.2129619855230422,11.16713591428324,13.877880186539384,6.379455029653647e-06,3.678007860515187e-31
collocation_tolerance,80.0,800,1e-05,0.851897395225733,1.1712712010923814,1.2129669534000826,11.167333875764404,13.878365470170337,1.4387347934380346e-05,5.330547435356415e-22
collocation_tolerance,80.0,800,1e-06,0.851897395225733,1.1712712010923814,1.2129669534000826,11.167333875764404,13.878365470170337,1.4387347934380346e-05,5.330547435356415e-22
collocation_tolerance,80.0,800,1e-07,0.8518974022195646,1.1712711676074816,1.2129669175183162,11.1673344159374,13.878365445654815,1.4310187398197671e-05,3.074337853390254e-29
collocation_tolerance,80.0,800,1e-08,0.8518974038795091,1.171271161227978,1.212966912117188,11.16733444958482,13.878366894367778,1.4308542778063149e-05,1.5853639922212564e-33
