boson_mass_ev,mass_solar,r99_km,particle_number,finite_n_fractional_scale,planck_suppression,charge_balance_in_units_of_e
1e-22,1565213746636.1868,22036163821888.555,1.8080136321559687e+100,7.437023429171004e-51,6.708832159377011e-101,9.588282002762836e-50
1e-21,156521374663.6187,2203616382188.8555,1.808013632155969e+98,7.437023429171003e-50,6.70883215937701e-99,9.588282002762835e-49
1e-20,15652137466.36187,220361638218.88556,1.8080136321559686e+96,7.437023429171005e-49,6.708832159377011e-97,9.588282002762835e-48
1e-19,1565213746.6361868,22036163821.888554,1.808013632155969e+94,7.437023429171005e-48,6.708832159377011e-95,9.588282002762835e-47
1e-18,156521374.66361868,2203616382.188855,1.8080136321559683e+92,7.437023429171005e-47,6.708832159377013e-93,9.588282002762837e-46
1e-17,15652137.466361867,220361638.21888554,1.8080136321559684e+90,7.437023429171006e-46,6.708832159377012e-91,9.588282002762836e-45
1e-16,1565213.746636187,22036163.821888555,1.808013632155969e+88,7.437023429171004e-45,6.70883215937701e-89,9.588282002762836e-44
1e-15,156521.37466361868,2203616.382188855,1.8080136321559686e+86,7.437023429171005e-44,6.7088321593770115e-87,9.588282002762837e-43
1e-14,15652.13746636187,220361.63821888555,1.8080136321559685e+84,7.437023429171005e-43,6.708832159377012e-85,9.588282002762837e-42
1e-13,1565.213746636187,22036.163821888553,1.808013632155969e+82,7.437023429171004e-42,6.70883215937701e-83,9.588282002762836e-41
1e-12,156.5213746636187,2203.6163821888554,1.8080136321559687e+80,7.437023429171005e-41,6.708832159377011e-81,9.588282002762836e-40
1e-11,15.65213746636187,220.36163821888556,1.8080136321559692e+78,7.437023429171004e-40,6.708832159377009e-79,9.588282002762834e-39
1e-10,1.565213746636187,22.036163821888554,1.8080136321559684e+76,7.437023429171004e-39,6.708832159377012e-77,9.588282002762836e-38
1e-09,0.15652137466361868,2.2036163821888555,1.8080136321559687e+74,7.437023429171005e-38,6.708832159377011e-75,9.588282002762835e-37
1e-08,0.01565213746636187,0.22036163821888555,1.8080136321559683e+72,7.437023429171005e-37,6.708832159377012e-73,9.588282002762836e-36
1e-07,0.001565213746636187,0.022036163821888555,1.808013632155969e+70,7.437023429171004e-36,6.70883215937701e-71,9.588282002762835e-35
1e-06,0.00015652137466361872,0.0022036163821888555,1.808013632155969e+68,7.437023429171004e-35,6.708832159377009e-69,9.588282002762835e-34
1e-05,1.565213746636187e-05,0.00022036163821888554,1.8080136321559682e+66,7.437023429171006e-34,6.708832159377013e-67,9.588282002762836e-33
0.0001,1.565213746636187e-06,2.2036163821888554e-05,1.808013632155968e+64,7.437023429171005e-33,6.708832159377013e-65,9.588282002762837e-32
0.001,1.565213746636187e-07,2.203616382188855e-06,1.8080136321559688e+62,7.437023429171004e-32,6.70883215937701e-63,9.588282002762836e-31
0.01,1.565213746636187e-08,2.2036163821888555e-07,1.808013632155969e+60,7.437023429171003e-31,6.708832159377009e-61,9.588282002762835e-30
0.1,1.5652137466361867e-09,2.2036163821888554e-08,1.8080136321559685e+58,7.437023429171005e-30,6.708832159377012e-59,9.588282002762836e-29
1.0,1.565213746636187e-10,2.2036163821888554e-09,1.808013632155969e+56,7.437023429171004e-29,6.70883215937701e-57,9.588282002762835e-28
10.0,1.565213746636187e-11,2.2036163821888554e-10,1.8080136321559686e+54,7.437023429171004e-28,6.708832159377012e-55,9.588282002762836e-27
100.0,1.565213746636187e-12,2.2036163821888554e-11,1.8080136321559687e+52,7.437023429171004e-27,6.708832159377011e-53,9.588282002762835e-26
1000.0,1.565213746636187e-13,2.2036163821888556e-12,1.808013632155969e+50,7.437023429171004e-26,6.70883215937701e-51,9.588282002762835e-25
10000.0,1.565213746636187e-14,2.2036163821888555e-13,1.808013632155969e+48,7.437023429171004e-25,6.70883215937701e-49,9.588282002762834e-24
100000.0,1.565213746636187e-15,2.2036163821888555e-14,1.8080136321559685e+46,7.437023429171004e-24,6.708832159377011e-47,9.588282002762836e-23
1000000.0,1.565213746636187e-16,2.2036163821888555e-15,1.808013632155969e+44,7.437023429171003e-23,6.70883215937701e-45,9.588282002762835e-22
10000000.0,1.5652137466361867e-17,2.2036163821888554e-16,1.8080136321559686e+42,7.437023429171004e-22,6.708832159377011e-43,9.588282002762836e-21
100000000.0,1.565213746636187e-18,2.2036163821888556e-17,1.8080136321559691e+40,7.437023429171003e-21,6.708832159377009e-41,9.588282002762835e-20
1000000000.0,1.5652137466361867e-19,2.2036163821888554e-18,1.8080136321559685e+38,7.437023429171005e-20,6.708832159377011e-39,9.588282002762836e-19
