method,epsilon,r_max,resolution,sigma2,node_count,residual,condition_number
nonlinear_global_bvp,0.0005,40.0,350,0.0002400431608572738,0,5.159102173321106e-07,
nonlinear_global_bvp,0.001,40.0,350,0.00024004311443384847,0,5.44199943344789e-07,
nonlinear_global_bvp,0.002,40.0,350,0.00024004313649310773,0,5.322860512884616e-07,
nonlinear_global_bvp,0.004,40.0,350,0.0002400432230990381,0,4.456679250075701e-07,
chebyshev_mode_0,0.001,40.0,40,0.00024002987628465668,0,4.520500722032837e-11,13.652728247036425
chebyshev_mode_1,0.001,40.0,40,0.008229197246178967,1,2.467368950501297e-12,6612.355005528197
chebyshev_mode_0,0.001,40.0,50,0.0002400439263792459,0,8.712393106783891e-11,20.474580728584627
chebyshev_mode_1,0.001,40.0,50,0.008227221700861608,1,2.672621178219192e-12,9271.890220433515
chebyshev_mode_0,0.001,40.0,60,0.00024003878089681348,0,2.1507885052198663e-10,28.74035143252983
chebyshev_mode_1,0.001,40.0,60,0.008227508268507232,1,1.0310381212741606e-11,12789.090654070369
chebyshev_mode_0,0.001,40.0,80,0.00024004147098238092,0,2.2384941140585755e-10,49.31454110019778
chebyshev_mode_1,0.001,40.0,80,0.00822766770509956,1,1.1964019428467576e-11,22999.95770191149
chebyshev_mode_0,0.001,40.0,100,0.00024004489477995992,0,2.171311618154385e-09,79.22802144639213
chebyshev_mode_1,0.001,40.0,100,0.008227681001036765,1,7.60175179034284e-11,38433.84091529141
chebyshev_mode_0,0.001,40.0,120,0.00024004677964238087,0,4.660027103732219e-09,121.32128487065658
chebyshev_mode_1,0.001,40.0,120,0.00822742408359669,1,2.353681137083541e-10,59973.40009193386
chebyshev_mode_0,0.001,40.0,140,0.0002400459454750583,0,9.936895858930448e-09,178.31726232354077
chebyshev_mode_1,0.001,40.0,140,0.008227476634435472,1,5.044393133198532e-10,88777.92748900405
chebyshev_mode_0,0.001,40.0,160,0.00024004352513070905,0,3.812461623839576e-09,251.77073505001488
chebyshev_mode_1,0.001,40.0,160,0.008227582118409904,1,2.017821192963465e-10,126436.54044776321
chebyshev_mode_0,0.001,40.0,180,0.0002400449619420598,0,5.154317687261466e-09,344.20769329148175
chebyshev_mode_1,0.001,40.0,180,0.008227603636599884,1,1.8936203647106092e-10,174247.4117528958
chebyshev_mode_0,0.001,40.0,200,0.00024004141615439342,0,9.959823059234224e-09,458.96256101923996
chebyshev_mode_1,0.001,40.0,200,0.00822730772793579,1,5.879230735779979e-10,233953.12585042795
